Student,Class,Math_1,Math_2,Physics_1,Physics_2,Science_1,Science_2,Math,Physics,Science,Score
Student_1,IDL,6,14,15,3,14,0,10.0,9.0,7.0,8.67
Student_2,ISEOC,1,15,13,3,5,5,8.0,8.0,5.0,7.0
Student_3,IDL,13,8,9,7,15,12,10.5,8.0,13.5,10.67
Student_4,IDL,13,17,4,13,18,6,15.0,8.5,12.0,11.83
Student_5,IDISC,9,15,1,8,4,0,12.0,4.5,2.0,6.17
Student_6,IDISC,11,3,10,18,16,12,7.0,14.0,14.0,11.67
Student_7,IDISC,1,18,13,13,4,8,9.5,13.0,6.0,9.5
Student_8,IDISC,14,8,3,16,1,3,11.0,9.5,2.0,7.5
Student_9,IDL,8,14,19,0,11,6,11.0,9.5,8.5,9.67
Student_10,IDL,7,5,17,12,0,8,6.0,14.5,4.0,8.17
Student_11,IDL,5,3,3,3,13,20,4.0,3.0,16.5,7.83
Student_12,IDL,6,19,11,3,14,9,12.5,7.0,11.5,10.33
Student_13,ISEOC,13,6,20,16,14,11,9.5,18.0,12.5,13.33
Student_14,IDL,12,20,0,8,4,3,16.0,4.0,3.5,7.83
Student_15,IDL,8,17,10,16,6,1,12.5,13.0,3.5,9.67
Student_16,IDL,10,13,12,5,3,6,11.5,8.5,4.5,8.17
Student_17,IDL,18,4,7,13,7,12,11.0,10.0,9.5,10.17
Student_18,IDL,9,9,1,15,13,12,9.0,8.0,12.5,9.83
Student_19,ISEOC,10,3,2,6,3,13,6.5,4.0,8.0,6.17
Student_20,IDISC,12,5,6,7,11,4,8.5,6.5,7.5,7.5
Student_21,ISEOC,8,6,5,14,8,16,7.0,9.5,12.0,9.5
Student_22,IDL,10,17,13,13,15,5,13.5,13.0,10.0,12.17
Student_23,IDL,0,12,18,18,8,20,6.0,18.0,14.0,12.67
Student_24,ISEOC,4,11,12,6,0,4,7.5,9.0,2.0,6.17
Student_25,ISEOC,9,10,16,4,7,14,9.5,10.0,10.5,10.0
Student_26,IDL,18,10,10,11,17,19,14.0,10.5,18.0,14.17
Student_27,IDISC,2,6,14,13,11,2,4.0,13.5,6.5,8.0
Student_28,IDISC,17,17,16,1,18,6,17.0,8.5,12.0,12.5
Student_29,ISEOC,0,5,6,4,8,14,2.5,5.0,11.0,6.17
Student_30,ISEOC,0,20,14,17,0,15,10.0,15.5,7.5,11.0
Student_31,IDISC,7,13,7,8,10,19,10.0,7.5,14.5,10.67
Student_32,IDL,3,17,18,10,13,17,10.0,14.0,15.0,13.0
Student_33,IDL,2,2,19,2,18,5,2.0,10.5,11.5,8.0
Student_34,ISEOC,3,13,4,13,9,15,8.0,8.5,12.0,9.5
Student_35,IDISC,11,3,20,0,4,6,7.0,10.0,5.0,7.33
Student_36,IDL,10,14,5,8,17,13,12.0,6.5,15.0,11.17
Student_37,IDL,4,6,19,18,2,2,5.0,18.5,2.0,8.5
Student_38,IDISC,15,1,3,17,13,15,8.0,10.0,14.0,10.67
Student_39,IDISC,5,9,4,17,10,19,7.0,10.5,14.5,10.67
Student_40,IDISC,6,0,1,0,7,9,3.0,0.5,8.0,3.83
Student_41,ISEOC,11,15,13,8,20,14,13.0,10.5,17.0,13.5
